#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	542	542	power	1786905439697	5024887	0	1786905441440
boot	543	543	session	1786905441440	5024889	2743	1786905495560
boot	544	544	session	1786905495560	5027652	17355	1786905553677
boot	545	545	session	1786905553677	5045118	0	1786905567256
boot	546	546	power	1786905567256	5027650	0	1786905579210
boot	547	547	power	1786905579210	5045118	19801	1786905816536
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	107069	544	1786905525091	5034124	crlf	 - 0x059AAF000 [ 1692] FvDxe.efi
line	107070	544	1786905525091	5034158	crlf	 - 0x059AF0000 [ 1693] PILProxyDxe.efi
line	107071	544	1786905525091	5034198	crlf	 - 0x059A2A000 [ 1693] PILDxe.efi
line	107072	544	1786905525091	5034233	crlf	 - 0x059AD8000 [ 1695] IPCCDxe.efi
line	107073	544	1786905525091	5034269	crlf	 - 0x059846000 [ 1696] SecurityStubDxe.efi
line	107074	544	1786905525091	5034313	crlf	 - 0x059AA4000 [ 1697] SecurityDxe.efi
line	107075	544	1786905525091	5034353	crlf	 - 0x059A9C000 [ 1698] PrintDxe.efi
line	107076	544	1786905525091	5034390	crlf	 - 0x059A1A000 [ 1698] SPI.efi
line	107077	544	1786905525091	5034422	crlf	 - 0x0599C3000 [ 1698] HSUART.efi
line	107078	544	1786905525091	5034457	crlf	 - 0x059A67000 [ 1699] PmicGlinkDxe.efi
line	107079	544	1786905525132	5034500	crlf	 - 0x059B24000 [ 1699] UsbPwrCtrlDxe.efi
line	107080	544	1786905525170	5034544	crlf	PM_DT_PARSING_ERR: cagrhpispiUsbPwrCtrlLibConfig_GetHWInfo Hardware Info is not available 
line	107081	544	1786905525170	5034636	crlf	UsbPwrCtrlLib_Init Initialize Hardware Configuration Error[Device Error] 
line	107082	544	1786905525170	5034711	crlf	Error: Image at 00059B24000 start failed: Device Error
line	107083	544	1786905525170	5034767	crlf	 - 0x059A78000 [ 1705] ChargerExDxe.efi
line	107084	544	1786905525170	5034808	crlf	 - 0x05998C000 [ 1706] UsbfnDwc3Dxe.efi
line	107085	544	1786905525170	5034849	crlf	 - 0x05997C000 [ 1706] UsbMsdDxe.efi
line	107086	544	1786905525170	5034887	crlf	 - 0x0599B6000 [ 1707] UsbDeviceDxe.efi
